Item,Price,GST
"A1 Gold Lava Mobile , HSN-85171210.",765.27,12
"A1 LAVA MOBILE , HSN-85171210.",711.5,12
"B 110 Samsung ,Hsn- 85171210",1325,12
"B 310 E GURU MUSIC 2 Samsung , Hsn-85171210",1575,12
"B 313E METRO Samsung , Hsn - 85171210",1950.01,12
"E 1200 Samsung , Hsn-85171210",1075,12
"Gear Watch SM R375 Black INU ,HSN-85176290.",2490,12
"Gear Watch SM R375 White INU ,HSN-85176290.",2490.01,12
"KKT PEARL FM LAVA MOBILE , HSN- 85171210.",1101.89,12
"Lava  34 Super+ , Hsn-85171210.",1306.78,12
"Lava  A 1200 Mobile , Hsn-85171210.",949.41,12
"Lava  A1 GOLD  Mobile , HSN-85171210.",765.27,12
"Lava  A1 Lite  Mobile , HSN-85171210.",689.03,12
"Lava A1 Mobile , HSN-85171210.",718.74,12
"Lava A1 Super Mobile , HSN-85171210.",765.27,12
"Lava  A3  Mobile , HSN-85171210.",841.5,12
"Lava  A5  Mobile , Hsn-85171210.",960.3,12
"Lava  A7  Mobile , HSN-85171210.",1154.34,12
Lava A7 Wave,1184.04,12
"Lava  A7 WAVE  Mobile , HSN-85171210.",1184.05,12
"LAVA GEM MOBILE , HSN- 85171290.",1248.38,12
"Lava Gem Wave Mobile , Hsn-85171210.",1269.19,12
"Lava  Hero 600  Mobile , Hsn-85171210.",558.36,12
LAVA KKT 34 Power,1295.89,12
"LAVA KKT 34 SUPER MOBILE , HSN- 85171210.",1315.7,12
"LAVA KKT PEARL FM, Hsn-85171210",1101.91,12
"LAVA ONE , Hsn-85171210",985.05,12
LAVA PRIME Z,1188.02,12
"Lava  Prime Z  Mobile , HSN-85171210.",1188,12
"LAVA SPARK 18 , Hsn-85171210",1260.26,12
"LAVA Spark  I 8 , HSN-85171210.",1281.06,12
"LAVA Z40 MOBILE , HSN- 85171290.",3266.31,12
"LAVA Z50 , Hsn-85171290.",3732.78,12
"LAVA Z60S, Hsn-85171290",4242.28,12
"LAVA Z61 2 GB , HSN-85171290.",5655.7,12
"Lava Z62 Mobile , HSN-85171290.",5762,12
"N 105 DS (2019), Hsn-85171290.",1147.24,12
"N 105 SS (2019), Hsn-85171210.",956.21,12
"N 106 New  , Hsn-85171210.",1194.64,12
"N 110 DS (2019), Hsn-85171210.",1530.29,12
"N 150 DS , Hsn-85171290.",1865.51,12
NOKIA 8110 4G,2897.43,12
"Nokia N150DS , HSN-85171290.",1874.88,12
"Nokia N216 , HSN- 85171290.",2387.02,12
NOKIA NEW 106,1200.6,12
"Nokia New N 130 , Hsn - 85171210",1528.94,12
"SAMSUNG A 260F A2 CORE, HSN-85171290",5185.99,12
"SAMSUNG A 305F-4/64GB, HSN-85171290",15039.05,12
"SAMSUNG A 505F-4/64GB, HSN-85171290",19408.02,12
"Samsung A705GM/DS , Hsn-85171290.",28146,12
Samsung Mobile SM-507 6GB  / HSN-85171290,21358.03,12
Samsung SM - A 107 2GB  / HSN 85171290.,8737,12
Samsung SM - A 107 3GB / HSN 85171290.,9708,12
Samsung SM - A 207 3GB / HSN 85171290.,12620.51,12
Samsung SM - A 507 4GB  / HSN 85171290.,19416,12
Samsung SM - A 707 8GB  / HSN 85171290.,30096.04,12
"SM-A 107F/DS,INS 2GB Samsung , HSN-85171290.",8737.02,12
"SM-A 307FN/DS,INS  Samsung , HSN-85171290.",16504.01,12
"SPARK 18 LAVA MOBILE , HSN-85171210.",1260.29,12
T 285 Samsung Tab,8873.89,18
"Tablet , SM T515 Samsung Tab, HSN-84713090.",19499,18
