Item,Qty
"B 110 Samsung ,Hsn- 85171210",1 pcs
"B 310 E GURU MUSIC 2 Samsung , Hsn-85171210",4 pcs
"B 313E METRO Samsung , Hsn - 85171210",1 pcs
BEETEL  FWP  F1N,1 pcs
"E 1200 Samsung , Hsn-85171210",1 pcs
"Gear Watch SM R375 Black INU ,HSN-85176290.",1 pcs
"KKT PEARL FM LAVA MOBILE , HSN- 85171210.",2 pcs
"Lava  34 Super+ , Hsn-85171210.",2 pcs
"Lava  A 1200 Mobile , Hsn-85171210.",1 pcs
"Lava  A1 GOLD  Mobile , HSN-85171210.",2 pcs
"Lava A1 Super Mobile , HSN-85171210.",2 pcs
"Lava  A5  Mobile , Hsn-85171210.",1 pcs
"Lava  A7  Mobile , HSN-85171210.",2 pcs
"Lava  A7 WAVE  Mobile , HSN-85171210.",6 pcs
"LAVA GEM MOBILE , HSN- 85171290.",3 pcs
"Lava Gem Wave Mobile , Hsn-85171210.",4 pcs
"LAVA KKT 34 SUPER MOBILE , HSN- 85171210.",1 pcs
"LAVA KKT PEARL FM, Hsn-85171210",1 pcs
"Lava  Prime Z  Mobile , HSN-85171210.",1 pcs
"LAVA SPARK 18 , Hsn-85171210",1 pcs
"LAVA Spark  I 8 , HSN-85171210.",3 pcs
"LAVA Z40 MOBILE , HSN- 85171290.",1 pcs
"LAVA Z50 , Hsn-85171290.",1 pcs
"LAVA Z60S, Hsn-85171290",1 pcs
"LAVA Z61 2 GB , HSN-85171290.",1 pcs
"N 105 DS (2019), Hsn-85171290.",2 pcs
"N 105 SS (2019), Hsn-85171210.",1 pcs
"N 106 New  , Hsn-85171210.",3 pcs
"N 110 DS (2019), Hsn-85171210.",2 pcs
"N 150 DS , Hsn-85171290.",4 pcs
NOKIA 8110 4G,2 pcs
"Nokia N150DS , HSN-85171290.",4 pcs
"Nokia N216 , HSN- 85171290.",1 pcs
NOKIA NEW 106,2 pcs
"SAMSUNG A 260F A2 CORE, HSN-85171290",1 pcs
"SAMSUNG A 305F-4/64GB, HSN-85171290",1 pcs
"SAMSUNG A 505F-4/64GB, HSN-85171290",2 pcs
"Samsung A705GM/DS , Hsn-85171290.",2 pcs
"Samsung Mobile SM-307 4,64 /HSN-85171290",1 pcs
Samsung Mobile SM-507 6GB  / HSN-85171290,1 pcs
Samsung SM - A 107 3GB / HSN 85171290.,2 pcs
"SM-A 307FN/DS,INS  Samsung , HSN-85171290.",1 pcs
"SPARK 18 LAVA MOBILE , HSN-85171210.",3 pcs
T 285 Samsung Tab,4 pcs
"Tablet , SM T515 Samsung Tab, HSN-84713090.",1 pcs
